date,time,open,high,low,close,volume,turnover
2019-01-02,09:35:00,3.4900,3.5300,3.4800,3.5300,3431400,12026673.0000
2019-01-02,09:40:00,3.5000,3.5200,3.4700,3.4900,1358100,4748506.0000
2019-01-02,09:45:00,3.4900,3.5000,3.4800,3.4900,803100,2804197.0000
2019-01-02,09:50:00,3.4800,3.4900,3.4600,3.4700,1155000,4013376.0000
2019-01-02,09:55:00,3.4700,3.4900,3.4700,3.4800,270800,942378.0000
2019-01-02,10:00:00,3.4800,3.4800,3.4500,3.4600,444700,1538102.0000
2019-01-02,10:05:00,3.4600,3.4700,3.4400,3.4500,375300,1296040.0000
2019-01-02,10:10:00,3.4600,3.4700,3.4500,3.4700,146300,506210.0000
2019-01-02,10:15:00,3.4700,3.4700,3.4500,3.4700,193800,671584.0000
2019-01-02,10:20:00,3.4700,3.4700,3.4600,3.4700,148000,513207.0000
2019-01-02,10:25:00,3.4700,3.4700,3.4600,3.4700,109900,380721.0000
2019-01-02,10:30:00,3.4700,3.4700,3.4600,3.4600,200900,695584.0000
2019-01-02,10:35:00,3.4600,3.4600,3.4300,3.4400,706100,2431229.0000
2019-01-02,10:40:00,3.4400,3.4500,3.4200,3.4400,352800,1211087.0000
2019-01-02,10:45:00,3.4400,3.4400,3.4100,3.4400,566823,1939656.0000
2019-01-02,10:50:00,3.4400,3.4600,3.4300,3.4500,323800,1114553.0000
2019-01-02,10:55:00,3.4500,3.4600,3.4300,3.4500,168600,581450.0000
2019-01-02,11:00:00,3.4500,3.4600,3.4500,3.4500,47900,165271.0000
2019-01-02,11:05:00,3.4500,3.4500,3.4300,3.4400,85800,295087.0000
2019-01-02,11:10:00,3.4400,3.4500,3.4400,3.4400,26300,90600.0000
2019-01-02,11:15:00,3.4500,3.4500,3.4400,3.4500,57800,199155.0000
2019-01-02,11:20:00,3.4500,3.4500,3.4300,3.4300,255300,877422.0000
2019-01-02,11:25:00,3.4300,3.4300,3.4200,3.4300,206700,707339.0000
2019-01-02,11:30:00,3.4300,3.4400,3.4200,3.4300,98000,336159.0000
2019-01-02,13:05:00,3.4300,3.4400,3.4200,3.4400,151900,521473.0000
2019-01-02,13:10:00,3.4400,3.4400,3.4300,3.4400,28900,99325.0000
2019-01-02,13:15:00,3.4400,3.4500,3.4300,3.4400,145000,498939.0000
2019-01-02,13:20:00,3.4400,3.4500,3.4300,3.4300,117900,404670.0000
2019-01-02,13:25:00,3.4400,3.4400,3.4200,3.4200,157100,539135.0000
2019-01-02,13:30:00,3.4200,3.4400,3.4200,3.4400,76300,262139.0000
2019-01-02,13:35:00,3.4400,3.4400,3.4200,3.4200,434700,1488139.0000
2019-01-02,13:40:00,3.4300,3.4500,3.4200,3.4500,284400,975970.0000
2019-01-02,13:45:00,3.4500,3.4500,3.4400,3.4400,279500,962279.0000
2019-01-02,13:50:00,3.4400,3.4400,3.4300,3.4400,131200,450945.0000
2019-01-02,13:55:00,3.4400,3.4400,3.4300,3.4400,60700,208637.0000
2019-01-02,14:00:00,3.4400,3.4400,3.4200,3.4300,220100,754800.0000
2019-01-02,14:05:00,3.4300,3.4300,3.4200,3.4300,79300,271647.0000
2019-01-02,14:10:00,3.4300,3.4400,3.4200,3.4300,179500,615977.0000
2019-01-02,14:15:00,3.4400,3.4400,3.4300,3.4300,145000,497934.0000
2019-01-02,14:20:00,3.4300,3.4400,3.4300,3.4400,159900,549379.0000
2019-01-02,14:25:00,3.4400,3.4400,3.4300,3.4300,144100,495121.0000
2019-01-02,14:30:00,3.4400,3.4400,3.4300,3.4400,81000,278391.0000
2019-01-02,14:35:00,3.4400,3.4500,3.4300,3.4300,459000,1580312.0000
2019-01-02,14:40:00,3.4300,3.4400,3.4300,3.4400,297800,1021845.0000
2019-01-02,14:45:00,3.4300,3.4400,3.4200,3.4400,263000,902617.0000
2019-01-02,14:50:00,3.4400,3.4400,3.4300,3.4400,236282,811900.0000
2019-01-02,14:55:00,3.4300,3.4400,3.4200,3.4300,686200,2351316.0000
2019-01-02,15:00:00,3.4300,3.4400,3.4300,3.4300,197700,678324.0000
2019-01-03,09:35:00,3.4500,3.4600,3.4400,3.4400,565800,1951257.0000
2019-01-03,09:40:00,3.4500,3.4500,3.4100,3.4300,382300,1310119.0000
2019-01-03,09:45:00,3.4200,3.4400,3.4200,3.4400,350700,1201009.0000
2019-01-03,09:50:00,3.4400,3.4400,3.4300,3.4400,283200,973064.0000
2019-01-03,09:55:00,3.4400,3.4600,3.4400,3.4500,430300,1485589.0000
2019-01-03,10:00:00,3.4500,3.4600,3.4400,3.4400,454100,1566504.0000
2019-01-03,10:05:00,3.4400,3.4600,3.4400,3.4600,740456,2550582.0000
2019-01-03,10:10:00,3.4600,3.4600,3.4400,3.4500,344500,1189448.0000
2019-01-03,10:15:00,3.4500,3.4500,3.4300,3.4300,429000,1475535.0000
2019-01-03,10:20:00,3.4300,3.4400,3.4300,3.4300,288544,990093.0000
2019-01-03,10:25:00,3.4300,3.4400,3.4000,3.4200,988200,3376389.0000
2019-01-03,10:30:00,3.4200,3.4200,3.4000,3.4000,655000,2231887.0000
2019-01-03,10:35:00,3.4100,3.4200,3.4000,3.4100,492382,1677174.0000
2019-01-03,10:40:00,3.4000,3.4100,3.3600,3.3900,1087618,3679037.0000
2019-01-03,10:45:00,3.3900,3.3900,3.3700,3.3800,456200,1541488.0000
2019-01-03,10:50:00,3.3800,3.3900,3.3700,3.3700,773800,2612566.0000
2019-01-03,10:55:00,3.3700,3.3800,3.3600,3.3700,632900,2129443.0000
2019-01-03,11:00:00,3.3700,3.3800,3.3600,3.3700,152223,512889.0000
2019-01-03,11:05:00,3.3700,3.3800,3.3600,3.3800,272500,918185.0000
2019-01-03,11:10:00,3.3800,3.3900,3.3700,3.3800,466900,1577558.0000
2019-01-03,11:15:00,3.3800,3.3900,3.3700,3.3900,58900,199374.0000
2019-01-03,11:20:00,3.3900,3.3900,3.3800,3.3900,42000,142137.0000
2019-01-03,11:25:00,3.3900,3.3900,3.3800,3.3800,160400,542360.0000
2019-01-03,11:30:00,3.3800,3.4000,3.3800,3.4000,75200,254807.0000
2019-01-03,13:05:00,3.4000,3.4000,3.3800,3.3800,57500,194918.0000
2019-01-03,13:10:00,3.3800,3.3900,3.3700,3.3800,117500,397068.0000
2019-01-03,13:15:00,3.3800,3.3900,3.3700,3.3900,44500,150400.0000
2019-01-03,13:20:00,3.3900,3.3900,3.3800,3.3900,215900,731214.0000
2019-01-03,13:25:00,3.3800,3.3900,3.3800,3.3800,70100,237151.0000
2019-01-03,13:30:00,3.3800,3.3900,3.3700,3.3800,67800,229099.0000
2019-01-03,13:35:00,3.3800,3.3900,3.3800,3.3900,115200,389874.0000
2019-01-03,13:40:00,3.3900,3.3900,3.3800,3.3900,70000,236941.0000
2019-01-03,13:45:00,3.3900,3.3900,3.3800,3.3900,140800,475983.0000
2019-01-03,13:50:00,3.3900,3.3900,3.3800,3.3900,112400,380095.0000
2019-01-03,13:55:00,3.3900,3.4000,3.3800,3.3900,164000,555839.0000
2019-01-03,14:00:00,3.4000,3.4000,3.3800,3.3800,178900,605968.0000
2019-01-03,14:05:00,3.3800,3.3900,3.3800,3.3800,118800,402236.0000
