date,time,open,high,low,close,volume,turnover
2019-01-02,09:35:00,3.3700,3.3800,3.3300,3.3400,387500,1296825.0000
2019-01-02,09:40:00,3.3400,3.3500,3.3300,3.3500,266100,889761.0000
2019-01-02,09:45:00,3.3500,3.3600,3.3500,3.3600,233400,783582.0000
2019-01-02,09:50:00,3.3500,3.3800,3.3500,3.3700,322800,1086485.0000
2019-01-02,09:55:00,3.3600,3.3800,3.3600,3.3700,160200,540318.0000
2019-01-02,10:00:00,3.3700,3.3800,3.3600,3.3600,178600,601707.0000
2019-01-02,10:05:00,3.3700,3.3800,3.3600,3.3800,178368,601244.0000
2019-01-02,10:10:00,3.3700,3.3800,3.3700,3.3800,173300,585325.0000
2019-01-02,10:15:00,3.3800,3.3900,3.3700,3.3700,142800,482455.0000
2019-01-02,10:20:00,3.3700,3.3800,3.3600,3.3700,138800,468633.0000
2019-01-02,10:25:00,3.3700,3.3800,3.3700,3.3700,70200,236629.0000
2019-01-02,10:30:00,3.3700,3.3800,3.3600,3.3600,121100,407433.0000
2019-01-02,10:35:00,3.3600,3.3700,3.3600,3.3700,51000,171408.0000
2019-01-02,10:40:00,3.3700,3.3700,3.3500,3.3500,71500,240100.0000
2019-01-02,10:45:00,3.3500,3.3700,3.3500,3.3500,69400,232576.0000
2019-01-02,10:50:00,3.3500,3.3700,3.3500,3.3600,46000,154145.0000
2019-01-02,10:55:00,3.3600,3.3600,3.3400,3.3400,75400,252409.0000
2019-01-02,11:00:00,3.3400,3.3500,3.3400,3.3400,52800,176612.0000
2019-01-02,11:05:00,3.3400,3.3600,3.3400,3.3500,48600,162635.0000
2019-01-02,11:10:00,3.3500,3.3600,3.3400,3.3600,39500,132115.0000
2019-01-02,11:15:00,3.3600,3.3600,3.3400,3.3500,42600,142406.0000
2019-01-02,11:20:00,3.3400,3.3600,3.3400,3.3500,35300,118149.0000
2019-01-02,11:25:00,3.3500,3.3600,3.3500,3.3500,38400,128666.0000
2019-01-02,11:30:00,3.3500,3.3600,3.3500,3.3600,41700,139767.0000
2019-01-02,13:05:00,3.3600,3.3600,3.3500,3.3500,48100,161422.0000
2019-01-02,13:10:00,3.3600,3.3600,3.3500,3.3500,41700,139855.0000
2019-01-02,13:15:00,3.3500,3.3700,3.3500,3.3700,68300,229352.0000
2019-01-02,13:20:00,3.3600,3.3700,3.3600,3.3600,67100,225601.0000
2019-01-02,13:25:00,3.3600,3.3700,3.3600,3.3600,94700,318922.0000
2019-01-02,13:30:00,3.3600,3.3800,3.3600,3.3600,142600,481215.0000
2019-01-02,13:35:00,3.3600,3.3800,3.3600,3.3800,179200,604981.0000
2019-01-02,13:40:00,3.3800,3.3900,3.3700,3.3800,306043,1035071.0000
2019-01-02,13:45:00,3.3700,3.3900,3.3700,3.3900,242500,821653.0000
2019-01-02,13:50:00,3.3900,3.4100,3.3800,3.4100,201000,682958.0000
2019-01-02,13:55:00,3.4000,3.4100,3.3900,3.4000,244900,833779.0000
2019-01-02,14:00:00,3.4000,3.4100,3.3900,3.4000,211300,719174.0000
2019-01-02,14:05:00,3.4100,3.4100,3.3900,3.3900,62300,211711.0000
2019-01-02,14:10:00,3.4000,3.4000,3.3800,3.4000,51600,175009.0000
2019-01-02,14:15:00,3.4000,3.4000,3.3700,3.4000,187500,634416.0000
2019-01-02,14:20:00,3.3900,3.4000,3.3800,3.3900,49100,166486.0000
2019-01-02,14:25:00,3.3900,3.4000,3.3900,3.4000,49300,167339.0000
2019-01-02,14:30:00,3.4000,3.4000,3.3800,3.3800,59700,202127.0000
2019-01-02,14:35:00,3.3800,3.4000,3.3800,3.3800,67300,227754.0000
2019-01-02,14:40:00,3.3800,3.3900,3.3800,3.3800,85200,288252.0000
2019-01-02,14:45:00,3.3800,3.3900,3.3800,3.3900,80800,273343.0000
2019-01-02,14:50:00,3.3800,3.3900,3.3700,3.3700,97100,327729.0000
2019-01-02,14:55:00,3.3700,3.3800,3.3700,3.3700,98200,330994.0000
2019-01-02,15:00:00,3.3700,3.3800,3.3700,3.3700,38100,128432.0000
2019-01-03,09:35:00,3.3600,3.3800,3.3500,3.3700,144300,485055.0000
2019-01-03,09:40:00,3.3700,3.3800,3.3600,3.3700,117200,395124.0000
2019-01-03,09:45:00,3.3700,3.3800,3.3600,3.3700,141300,476045.0000
2019-01-03,09:50:00,3.3700,3.4100,3.3700,3.4100,218400,741091.0000
2019-01-03,09:55:00,3.4100,3.4200,3.4000,3.4000,209000,712268.0000
2019-01-03,10:00:00,3.4000,3.4200,3.4000,3.4000,76400,260439.0000
2019-01-03,10:05:00,3.4000,3.4200,3.3900,3.4100,173600,592419.0000
2019-01-03,10:10:00,3.4100,3.4200,3.4100,3.4100,127900,437169.0000
2019-01-03,10:15:00,3.4200,3.4200,3.4100,3.4200,64100,219084.0000
2019-01-03,10:20:00,3.4200,3.4300,3.4100,3.4200,243700,833504.0000
2019-01-03,10:25:00,3.4200,3.4200,3.4100,3.4100,143200,488674.0000
2019-01-03,10:30:00,3.4100,3.4200,3.4100,3.4200,91000,310697.0000
2019-01-03,10:35:00,3.4200,3.4300,3.4100,3.4200,286400,980532.0000
2019-01-03,10:40:00,3.4200,3.4400,3.4200,3.4400,427491,1466253.0000
2019-01-03,10:45:00,3.4400,3.4500,3.4300,3.4400,257000,884099.0000
2019-01-03,10:50:00,3.4500,3.4600,3.4400,3.4600,554700,1916170.0000
2019-01-03,10:55:00,3.4600,3.4600,3.4500,3.4500,289500,1000560.0000
2019-01-03,11:00:00,3.4500,3.4600,3.4400,3.4500,242700,838846.0000
2019-01-03,11:05:00,3.4500,3.4600,3.4500,3.4500,257300,889588.0000
2019-01-03,11:10:00,3.4600,3.4600,3.4300,3.4300,334700,1153844.0000
2019-01-03,11:15:00,3.4500,3.4500,3.4300,3.4400,221900,763980.0000
2019-01-03,11:20:00,3.4500,3.4500,3.4300,3.4400,415700,1428107.0000
2019-01-03,11:25:00,3.4400,3.4400,3.4300,3.4400,94800,325652.0000
2019-01-03,11:30:00,3.4400,3.4400,3.4300,3.4300,72900,250644.0000
2019-01-03,13:05:00,3.4400,3.4500,3.4300,3.4300,104000,357766.0000
2019-01-03,13:10:00,3.4300,3.4500,3.4300,3.4400,93900,323589.0000
2019-01-03,13:15:00,3.4400,3.4400,3.4300,3.4400,64700,222378.0000
2019-01-03,13:20:00,3.4400,3.4500,3.4300,3.4500,71600,246560.0000
2019-01-03,13:25:00,3.4500,3.4500,3.4300,3.4500,63500,218844.0000
2019-01-03,13:30:00,3.4500,3.4500,3.4300,3.4400,148000,509520.0000
2019-01-03,13:35:00,3.4400,3.4500,3.4400,3.4400,99100,341711.0000
2019-01-03,13:40:00,3.4400,3.4500,3.4400,3.4500,67200,231695.0000
2019-01-03,13:45:00,3.4500,3.4500,3.4300,3.4400,54700,188302.0000
2019-01-03,13:50:00,3.4400,3.4500,3.4300,3.4500,62600,215870.0000
2019-01-03,13:55:00,3.4500,3.4500,3.4400,3.4500,74800,258007.0000
2019-01-03,14:00:00,3.4500,3.4500,3.4400,3.4400,53400,184110.0000
2019-01-03,14:05:00,3.4400,3.4500,3.4400,3.4500,54900,189308.0000
2019-01-03,14:10:00,3.4500,3.4500,3.4400,3.4400,79900,275414.0000
2019-01-03,14:15:00,3.4400,3.4500,3.4400,3.4400,67800,233618.0000
2019-01-03,14:20:00,3.4400,3.4500,3.4400,3.4400,75100,258858.0000
2019-01-03,14:25:00,3.4400,3.4500,3.4300,3.4300,152400,524758.0000
2019-01-03,14:30:00,3.4300,3.4500,3.4300,3.4400,145200,499704.0000
2019-01-03,14:35:00,3.4500,3.4500,3.4300,3.4400,55200,190266.0000
2019-01-03,14:40:00,3.4400,3.4500,3.4300,3.4300,63800,219608.0000
2019-01-03,14:45:00,3.4400,3.4400,3.4300,3.4300,110800,380709.0000
2019-01-03,14:50:00,3.4300,3.4400,3.4300,3.4400,191300,656821.0000
2019-01-03,14:55:00,3.4400,3.4400,3.4200,3.4300,196300,673719.0000
2019-01-03,15:00:00,3.4300,3.4300,3.4200,3.4300,179100,614089.0000
2019-01-04,09:35:00,3.4300,3.4400,3.4100,3.4200,353900,1211266.0000
2019-01-04,09:40:00,3.4200,3.4400,3.4200,3.4300,388500,1331769.0000
2019-01-04,09:45:00,3.4300,3.4400,3.4200,3.4300,336400,1153469.0000
2019-01-04,09:50:00,3.4300,3.4300,3.4200,3.4200,311800,1067702.0000
2019-01-04,09:55:00,3.4300,3.4400,3.4200,3.4300,455200,1562597.0000
2019-01-04,10:00:00,3.4300,3.4400,3.4300,3.4400,218100,748574.0000
2019-01-04,10:05:00,3.4400,3.4500,3.4300,3.4500,252411,869788.0000
2019-01-04,10:10:00,3.4500,3.4800,3.4400,3.4600,1078700,3739000.0000
2019-01-04,10:15:00,3.4700,3.5200,3.4600,3.4900,1811391,6315585.0000
2019-01-04,10:20:00,3.5000,3.5600,3.4900,3.5500,1585100,5586162.0000
2019-01-04,10:25:00,3.5600,3.5700,3.5400,3.5600,1633000,5807773.0000
2019-01-04,10:30:00,3.5600,3.5700,3.5500,3.5500,890300,3165522.0000
2019-01-04,10:35:00,3.5500,3.5700,3.5500,3.5500,529300,1884979.0000
2019-01-04,10:40:00,3.5600,3.5600,3.5500,3.5600,381800,1357480.0000
2019-01-04,10:45:00,3.5600,3.5600,3.5500,3.5600,356600,1267878.0000
2019-01-04,10:50:00,3.5600,3.5600,3.5500,3.5600,327200,1163606.0000
2019-01-04,10:55:00,3.5600,3.5700,3.5400,3.5600,503200,1788968.0000
2019-01-04,11:00:00,3.5600,3.5600,3.5400,3.5500,466700,1655706.0000
2019-01-04,11:05:00,3.5600,3.6100,3.5600,3.5800,2737051,9818940.0000
2019-01-04,11:10:00,3.5900,3.6300,3.5800,3.6100,775782,2797959.0000
2019-01-04,11:15:00,3.6200,3.6200,3.5900,3.6000,313500,1130451.0000
2019-01-04,11:20:00,3.6000,3.6100,3.5800,3.6000,232000,834735.0000
2019-01-04,11:25:00,3.6000,3.6000,3.5900,3.6000,124700,448658.0000
2019-01-04,11:30:00,3.6000,3.6100,3.5900,3.6100,236400,851450.0000
2019-01-04,13:05:00,3.6100,3.6300,3.6100,3.6300,1036150,3751479.0000
2019-01-04,13:10:00,3.6300,3.6300,3.6200,3.6200,263900,957279.0000
2019-01-04,13:15:00,3.6200,3.6300,3.6200,3.6200,501400,1816178.0000
2019-01-04,13:20:00,3.6200,3.6200,3.6100,3.6100,151050,546398.0000
2019-01-04,13:25:00,3.6100,3.6200,3.6100,3.6200,109600,396521.0000
2019-01-04,13:30:00,3.6200,3.6200,3.6100,3.6100,152500,551169.0000
2019-01-04,13:35:00,3.6100,3.6200,3.6000,3.6100,239800,865559.0000
2019-01-04,13:40:00,3.6100,3.6100,3.6000,3.6100,109300,393951.0000
2019-01-04,13:45:00,3.6000,3.6100,3.6000,3.6000,302700,1090242.0000
2019-01-04,13:50:00,3.6000,3.6100,3.5900,3.5900,80900,291480.0000
2019-01-04,13:55:00,3.5900,3.6000,3.5900,3.5900,137601,494250.0000
2019-01-04,14:00:00,3.5900,3.6000,3.5800,3.5900,140599,504353.0000
2019-01-04,14:05:00,3.6000,3.6000,3.5800,3.5900,98400,353471.0000
2019-01-04,14:10:00,3.5900,3.6000,3.5800,3.5800,84600,303565.0000
2019-01-04,14:15:00,3.5800,3.5900,3.5700,3.5700,126500,452855.0000
2019-01-04,14:20:00,3.5700,3.5800,3.5700,3.5800,243001,869050.0000
2019-01-04,14:25:00,3.5800,3.6000,3.5800,3.6000,186000,667576.0000
2019-01-04,14:30:00,3.6000,3.6000,3.5800,3.5900,113900,408681.0000
2019-01-04,14:35:00,3.5800,3.5900,3.5800,3.5800,218300,782780.0000
2019-01-04,14:40:00,3.5800,3.5900,3.5700,3.5800,234300,838623.0000
2019-01-04,14:45:00,3.5800,3.5900,3.5800,3.5900,61100,219032.0000
2019-01-04,14:50:00,3.5900,3.6000,3.5800,3.5900,204586,734388.0000
2019-01-04,14:55:00,3.5900,3.6100,3.5800,3.6100,1340900,4821788.0000
2019-01-04,15:00:00,3.6100,3.6100,3.5900,3.5900,496900,1786325.0000
2019-01-07,09:35:00,3.6400,3.6900,3.6000,3.6800,2770651,10081331.0000
2019-01-07,09:40:00,3.6800,3.7100,3.6600,3.6700,1615100,5941622.0000
2019-01-07,09:45:00,3.6600,3.6800,3.6400,3.6400,1277600,4679468.0000
2019-01-07,09:50:00,3.6500,3.6700,3.6400,3.6700,1122200,4107335.0000
2019-01-07,09:55:00,3.6600,3.6700,3.6600,3.6600,469600,1720970.0000
2019-01-07,10:00:00,3.6600,3.7400,3.6600,3.7200,2141400,7921843.0000
2019-01-07,10:05:00,3.7200,3.8000,3.7100,3.7900,2725491,10219056.0000
2019-01-07,10:10:00,3.7800,3.7800,3.7500,3.7500,1538600,5792441.0000
2019-01-07,10:15:00,3.7500,3.7700,3.7200,3.7500,707900,2651141.0000
2019-01-07,10:20:00,3.7400,3.7700,3.7400,3.7700,960800,3615568.0000
2019-01-07,10:25:00,3.7800,3.8000,3.7500,3.7600,1277300,4829973.0000
2019-01-07,10:30:00,3.7600,3.8100,3.7600,3.8100,1829278,6930075.0000
